Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases,FN:FP cost ratio,Weighted cost,Cost per test record,Scenario
Logistic Regression,0.58999999999999997,29,92,633,22,0.85309278350515461,0.23966942148760331,0.56862745098039214,0.33720930232558138,0.12689655172413794,121,0.15592783505154639,92,22,1,114,0.14690721649484537,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.59999999999999998,27,87,638,24,0.85695876288659789,0.23684210526315788,0.52941176470588236,0.32727272727272727,0.12,114,0.14690721649484537,87,24,1,111,0.14304123711340205,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.60999999999999999,26,87,638,25,0.85567010309278346,0.23008849557522124,0.50980392156862742,0.31707317073170732,0.12,113,0.14561855670103094,87,25,1,112,0.14432989690721648,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.62,26,83,642,25,0.86082474226804129,0.23853211009174313,0.50980392156862742,0.32500000000000001,0.11448275862068966,109,0.1404639175257732,83,25,1,108,0.13917525773195877,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.63,24,79,646,27,0.86340206185567014,0.23300970873786409,0.47058823529411764,0.31168831168831168,0.10896551724137932,103,0.1327319587628866,79,27,1,106,0.13659793814432988,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.64000000000000001,24,74,651,27,0.86984536082474229,0.24489795918367346,0.47058823529411764,0.32214765100671139,0.10206896551724139,98,0.12628865979381443,74,27,1,101,0.13015463917525774,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.65000000000000002,22,70,655,29,0.87242268041237114,0.2391304347826087,0.43137254901960786,0.30769230769230771,0.096551724137931033,92,0.11855670103092783,70,29,1,99,0.12757731958762886,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.66000000000000003,22,67,658,29,0.87628865979381443,0.24719101123595505,0.43137254901960786,0.31428571428571428,0.092413793103448272,89,0.11469072164948453,67,29,1,96,0.12371134020618557,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.67000000000000004,22,66,659,29,0.87757731958762886,0.25,0.43137254901960786,0.31654676258992803,0.091034482758620694,88,0.1134020618556701,66,29,1,95,0.12242268041237113,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.68000000000000005,21,63,662,30,0.88015463917525771,0.25,0.41176470588235292,0.31111111111111112,0.086896551724137933,84,0.10824742268041238,63,30,1,93,0.11984536082474227,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.68999999999999995,20,63,662,31,0.87886597938144329,0.24096385542168675,0.39215686274509803,0.29850746268656714,0.086896551724137933,83,0.10695876288659793,63,31,1,94,0.1211340206185567,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.69999999999999996,20,59,666,31,0.884020618556701,0.25316455696202533,0.39215686274509803,0.30769230769230771,0.08137931034482758,79,0.10180412371134021,59,31,1,90,0.11597938144329897,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.70999999999999996,20,54,671,31,0.89046391752577314,0.27027027027027029,0.39215686274509803,0.32000000000000001,0.074482758620689649,74,0.095360824742268036,54,31,1,85,0.1095360824742268,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.71999999999999997,19,53,672,32,0.89046391752577314,0.2638888888888889,0.37254901960784315,0.30894308943089432,0.073103448275862071,72,0.092783505154639179,53,32,1,85,0.1095360824742268,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.72999999999999998,19,50,675,32,0.89432989690721654,0.27536231884057971,0.37254901960784315,0.31666666666666665,0.068965517241379309,69,0.08891752577319588,50,32,1,82,0.1056701030927835,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.73999999999999999,18,47,678,33,0.89690721649484539,0.27692307692307694,0.35294117647058826,0.31034482758620691,0.064827586206896548,65,0.083762886597938138,47,33,1,80,0.10309278350515463,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.75,17,47,678,34,0.89561855670103097,0.265625,0.33333333333333331,0.29565217391304349,0.064827586206896548,64,0.08247422680412371,47,34,1,81,0.10438144329896908,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.76000000000000001,16,45,680,35,0.89690721649484539,0.26229508196721313,0.31372549019607843,0.2857142857142857,0.062068965517241378,61,0.078608247422680411,45,35,1,80,0.10309278350515463,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.77000000000000002,16,40,685,35,0.90335051546391754,0.2857142857142857,0.31372549019607843,0.29906542056074764,0.055172413793103448,56,0.072164948453608241,40,35,1,75,0.096649484536082478,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.78000000000000003,15,37,688,36,0.90592783505154639,0.28846153846153844,0.29411764705882354,0.29126213592233008,0.051034482758620693,52,0.067010309278350513,37,36,1,73,0.094072164948453607,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.79000000000000004,15,35,690,36,0.90850515463917525,0.29999999999999999,0.29411764705882354,0.29702970297029702,0.048275862068965517,50,0.064432989690721643,35,36,1,71,0.091494845360824736,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.80000000000000004,15,34,691,36,0.90979381443298968,0.30612244897959184,0.29411764705882354,0.29999999999999999,0.046896551724137932,49,0.063144329896907214,34,36,1,70,0.090206185567010308,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.81000000000000005,15,32,693,36,0.91237113402061853,0.31914893617021278,0.29411764705882354,0.30612244897959184,0.044137931034482755,47,0.06056701030927835,32,36,1,68,0.087628865979381437,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.81999999999999995,15,30,695,36,0.91494845360824739,0.33333333333333331,0.29411764705882354,0.3125,0.041379310344827586,45,0.057989690721649487,30,36,1,66,0.08505154639175258,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.82999999999999996,15,29,696,36,0.91623711340206182,0.34090909090909088,0.29411764705882354,0.31578947368421051,0.040000000000000001,44,0.056701030927835051,29,36,1,65,0.083762886597938138,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.83999999999999997,13,27,698,38,0.91623711340206182,0.32500000000000001,0.25490196078431371,0.2857142857142857,0.037241379310344824,40,0.051546391752577317,27,38,1,65,0.083762886597938138,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.84999999999999998,13,24,701,38,0.92010309278350511,0.35135135135135137,0.25490196078431371,0.29545454545454547,0.03310344827586207,37,0.047680412371134018,24,38,1,62,0.079896907216494839,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.85999999999999999,12,23,702,39,0.92010309278350511,0.34285714285714286,0.23529411764705882,0.27906976744186046,0.031724137931034485,35,0.045103092783505154,23,39,1,62,0.079896907216494839,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.87,10,23,702,41,0.91752577319587625,0.30303030303030304,0.19607843137254902,0.23809523809523808,0.031724137931034485,33,0.04252577319587629,23,41,1,64,0.08247422680412371,hypothetical; not empirically measured mine-specific costs
