Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
SVM,Balanced weighting,4,1,0.66481755424063116,0.1429588915548668,24,338,362
Logistic Regression,Balanced weighting,4,2,0.7651627218934911,0.23879682564790811,24,338,362
Random Forest,Balanced weighting,4,2,0.76713510848126232,0.20279409087150099,24,338,362
Gradient Boosting,Balanced weighting,4,2,0.72324950690335299,0.18334277413143876,24,338,362
SVM,Balanced weighting,4,2,0.77773668639053239,0.19485970313642728,24,338,362
Logistic Regression,Balanced weighting,4,3,0.64213510848126232,0.16574156255916972,24,338,362
Random Forest,Balanced weighting,4,3,0.68682199211045369,0.21915874191704462,24,338,362
Gradient Boosting,Balanced weighting,4,3,0.67492603550295849,0.20873844371635583,24,338,362
SVM,Balanced weighting,4,3,0.64361439842209056,0.16806798955173066,24,338,362
Logistic Regression,Balanced weighting,4,4,0.80885001286339075,0.17851643507238357,23,338,361
Random Forest,Balanced weighting,4,4,0.76916645227682023,0.19953066493261579,23,338,361
Gradient Boosting,Balanced weighting,4,4,0.7427321842037562,0.18405149289966111,23,338,361
SVM,Balanced weighting,4,4,0.78904039104708001,0.22640613824390282,23,338,361
Logistic Regression,Balanced weighting,4,5,0.70882789317507422,0.21526307190299199,24,337,361
Random Forest,Balanced weighting,4,5,0.75,0.17669493824555624,24,337,361
Gradient Boosting,Balanced weighting,4,5,0.6845326409495549,0.23431381803690529,24,337,361
SVM,Balanced weighting,4,5,0.67445598417408503,0.25400572963714324,24,337,361
Logistic Regression,Balanced weighting,5,1,0.63017751479289952,0.15015583704657831,24,338,362
Random Forest,Balanced weighting,5,1,0.71640779092702167,0.20793626096660722,24,338,362
Gradient Boosting,Balanced weighting,5,1,0.69600591715976334,0.17872477646738533,24,338,362
SVM,Balanced weighting,5,1,0.64866863905325434,0.27770367481727748,24,338,362
Logistic Regression,Balanced weighting,5,2,0.81077416173570016,0.28943223870041501,24,338,362
Random Forest,Balanced weighting,5,2,0.79647435897435903,0.21017039277100547,24,338,362
Gradient Boosting,Balanced weighting,5,2,0.71283284023668636,0.28226343471597987,24,338,362
SVM,Balanced weighting,5,2,0.80177514792899407,0.22242883934388419,24,338,362
Logistic Regression,Balanced weighting,5,3,0.74100098619329391,0.27135793862947188,24,338,362
Random Forest,Balanced weighting,5,3,0.67239891518737671,0.13887778212078675,24,338,362
Gradient Boosting,Balanced weighting,5,3,0.60145463510848129,0.14919445187248773,24,338,362
