Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Gradient Boosting,RandomOverSampler,4,5,0.72966122650840748,0.30794196218425862,24,337,361
SVM,RandomOverSampler,4,5,0.65145895153313549,0.24872039233059332,24,337,361
Logistic Regression,RandomOverSampler,5,1,0.60835798816568043,0.14402821081365302,24,338,362
Random Forest,RandomOverSampler,5,1,0.7213387573964497,0.18896423450007363,24,338,362
Gradient Boosting,RandomOverSampler,5,1,0.70894970414201175,0.20993440179916811,24,338,362
SVM,RandomOverSampler,5,1,0.63449211045364884,0.24936105303200884,24,338,362
Logistic Regression,RandomOverSampler,5,2,0.80806213017751483,0.29689377060328237,24,338,362
Random Forest,RandomOverSampler,5,2,0.81422583826429984,0.21595461572432953,24,338,362
Gradient Boosting,RandomOverSampler,5,2,0.71998274161735709,0.2643123832894429,24,338,362
SVM,RandomOverSampler,5,2,0.78488658777120324,0.21422864408342232,24,338,362
Logistic Regression,RandomOverSampler,5,3,0.72497534516765283,0.26133803075982431,24,338,362
Random Forest,RandomOverSampler,5,3,0.68263067061143978,0.14695973847121127,24,338,362
Gradient Boosting,RandomOverSampler,5,3,0.58592209072978307,0.18416641796446484,24,338,362
SVM,RandomOverSampler,5,3,0.66487919132149909,0.11175136089815543,24,338,362
Logistic Regression,RandomOverSampler,5,4,0.68008747105737077,0.12354064225863759,23,338,361
Random Forest,RandomOverSampler,5,4,0.6747491638795986,0.1939773432542721,23,338,361
Gradient Boosting,RandomOverSampler,5,4,0.67937998456393101,0.17640633609770839,23,338,361
SVM,RandomOverSampler,5,4,0.71996398250578852,0.17471530140834371,23,338,361
Logistic Regression,RandomOverSampler,5,5,0.74975272007912952,0.21307118318387988,24,337,361
Random Forest,RandomOverSampler,5,5,0.66023738872403559,0.12104480397498073,24,337,361
Gradient Boosting,RandomOverSampler,5,5,0.67569238377843732,0.13415057006527567,24,337,361
SVM,RandomOverSampler,5,5,0.74666172106824924,0.17560370424064858,24,337,361
Logistic Regression,RandomOverSampler,6,1,0.75986193293885607,0.2754458855882066,24,338,362
Random Forest,RandomOverSampler,6,1,0.70161489151873768,0.17276887461132745,24,338,362
Gradient Boosting,RandomOverSampler,6,1,0.64743589743589736,0.16678065663384939,24,338,362
SVM,RandomOverSampler,6,1,0.64620315581854049,0.20089731135455899,24,338,362
Logistic Regression,RandomOverSampler,6,2,0.70697731755424054,0.19299058138931613,24,338,362
Random Forest,RandomOverSampler,6,2,0.7522805719921104,0.18198075976372322,24,338,362
Gradient Boosting,RandomOverSampler,6,2,0.73607001972386588,0.28020760934595645,24,338,362
SVM,RandomOverSampler,6,2,0.73878205128205121,0.18610215458141616,24,338,362
Logistic Regression,RandomOverSampler,6,3,0.70734714003944776,0.20220349944046526,24,338,362
Random Forest,RandomOverSampler,6,3,0.65403106508875741,0.13396594669904335,24,338,362
Gradient Boosting,RandomOverSampler,6,3,0.63085552268244582,0.10975867698902826,24,338,362
SVM,RandomOverSampler,6,3,0.66789940828402383,0.15722423906314764,24,338,362
Logistic Regression,RandomOverSampler,6,4,0.79521481862618992,0.18002872203975617,23,338,361
Random Forest,RandomOverSampler,6,4,0.7302546951376383,0.14269399568679614,23,338,361
Gradient Boosting,RandomOverSampler,6,4,0.77591973244147161,0.17519895442569441,23,338,361
SVM,RandomOverSampler,6,4,0.74774890661178295,0.19103354648818463,23,338,361
Logistic Regression,RandomOverSampler,6,5,0.78659742828882284,0.23550326095289198,24,337,361
Random Forest,RandomOverSampler,6,5,0.78022997032640962,0.23126589588892879,24,337,361
Gradient Boosting,RandomOverSampler,6,5,0.72984668644906037,0.20395474202410727,24,337,361
SVM,RandomOverSampler,6,5,0.74344708209693366,0.16168160064825732,24,337,361
Logistic Regression,RandomOverSampler,7,1,0.8182938856015779,0.36484160479346744,24,338,362
Random Forest,RandomOverSampler,7,1,0.75203402366863903,0.18388483224678379,24,338,362
Gradient Boosting,RandomOverSampler,7,1,0.7583826429980276,0.22221285452534939,24,338,362
SVM,RandomOverSampler,7,1,0.69156804733727817,0.12166422369620188,24,338,362
Logistic Regression,RandomOverSampler,7,2,0.77712031558185402,0.20376298482482433,24,338,362
Random Forest,RandomOverSampler,7,2,0.68639053254437876,0.15243168016008982,24,338,362
Gradient Boosting,RandomOverSampler,7,2,0.77391518737672582,0.17830348201608556,24,338,362
SVM,RandomOverSampler,7,2,0.74383629191321488,0.14109672992817643,24,338,362
Logistic Regression,RandomOverSampler,7,3,0.77638067061143989,0.24725846477965263,24,338,362
Random Forest,RandomOverSampler,7,3,0.70636094674556205,0.20281103914652088,24,338,362
Gradient Boosting,RandomOverSampler,7,3,0.68774654832347137,0.14153853125055008,24,338,362
SVM,RandomOverSampler,7,3,0.65964003944773175,0.14968210569353727,24,338,362
Logistic Regression,RandomOverSampler,7,4,0.76807306405968623,0.23279952956295874,23,338,361
Random Forest,RandomOverSampler,7,4,0.71681245176228447,0.13205840306265315,23,338,361
Gradient Boosting,RandomOverSampler,7,4,0.74376125546694105,0.16226607238898247,23,338,361
SVM,RandomOverSampler,7,4,0.76035502958579881,0.25797416942520102,23,338,361
Logistic Regression,RandomOverSampler,7,5,0.58778437190900101,0.10073612588990825,24,337,361
