Model,Curve,x,y
Logistic Regression,PR,1,0.072857142857142856
Logistic Regression,PR,1,0.072961373390557943
Logistic Regression,PR,1,0.073065902578796568
Logistic Regression,PR,1,0.073170731707317069
Logistic Regression,PR,1,0.073275862068965511
Logistic Regression,PR,1,0.073381294964028773
Logistic Regression,PR,1,0.073487031700288183
Logistic Regression,PR,1,0.073593073593073599
Logistic Regression,PR,1,0.073699421965317924
Logistic Regression,PR,1,0.073806078147612156
Logistic Regression,PR,1,0.073913043478260873
Logistic Regression,PR,1,0.074020319303338175
Logistic Regression,PR,1,0.074127906976744193
Logistic Regression,PR,1,0.074235807860262015
Logistic Regression,PR,1,0.074344023323615158
Logistic Regression,PR,1,0.074452554744525543
Logistic Regression,PR,1,0.074561403508771926
Logistic Regression,PR,1,0.074670571010248904
Logistic Regression,PR,1,0.074780058651026396
Logistic Regression,PR,1,0.074889867841409691
Logistic Regression,PR,1,0.074999999999999997
Logistic Regression,PR,1,0.07511045655375552
Logistic Regression,PR,1,0.075221238938053103
Logistic Regression,PR,1,0.075332348596750365
Logistic Regression,PR,1,0.075443786982248517
Logistic Regression,PR,1,0.075555555555555556
Logistic Regression,PR,1,0.075667655786350152
Logistic Regression,PR,1,0.075780089153046057
Logistic Regression,PR,1,0.075892857142857137
Logistic Regression,PR,1,0.076005961251862889
Logistic Regression,PR,1,0.076119402985074622
Logistic Regression,PR,1,0.07623318385650224
Logistic Regression,PR,1,0.076347305389221562
Logistic Regression,PR,1,0.07646176911544228
Logistic Regression,PR,1,0.076576576576576572
Logistic Regression,PR,1,0.076691729323308269
Logistic Regression,PR,1,0.076807228915662648
Logistic Regression,PR,1,0.076923076923076927
Logistic Regression,PR,1,0.077039274924471296
Logistic Regression,PR,1,0.077155824508320731
Logistic Regression,PR,1,0.077272727272727271
Logistic Regression,PR,1,0.077389984825493169
Logistic Regression,PR,1,0.077507598784194526
Logistic Regression,PR,1,0.077625570776255703
Logistic Regression,PR,1,0.07774390243902439
Logistic Regression,PR,1,0.07786259541984733
Logistic Regression,PR,1,0.077981651376146793
Logistic Regression,PR,1,0.078101071975497705
Logistic Regression,PR,1,0.078220858895705528
Logistic Regression,PR,1,0.078341013824884786
Logistic Regression,PR,1,0.078461538461538458
Logistic Regression,PR,1,0.078582434514637908
Logistic Regression,PR,1,0.078703703703703706
Logistic Regression,PR,1,0.078825347758887165
Logistic Regression,PR,1,0.078947368421052627
Logistic Regression,PR,1,0.079069767441860464
Logistic Regression,PR,1,0.079192546583850928
Logistic Regression,PR,1,0.079315707620528766
Logistic Regression,PR,1,0.079439252336448593
Logistic Regression,PR,1,0.079563182527301088
Logistic Regression,PR,1,0.079687499999999994
Logistic Regression,PR,1,0.079812206572769953
Logistic Regression,PR,1,0.080062794348508631
Logistic Regression,PR,1,0.080188679245283015
Logistic Regression,PR,1,0.080314960629921259
Logistic Regression,PR,1,0.080441640378548895
