Resample,Model,ROC-AUC,PR-AUC,Recall,Precision,Brier Score,Positive count,Negative count,Precision zero division applied,Undefined metric reason
14,Gradient Boosting,0.80162271805273833,0.30531494245309065,0.47058823529411764,0.22857142857142856,0.10544187779438653,51,725,False,none
14,SVM,0.72343475321162942,0.17540505131282672,0,0,0.058658876572384056,51,725,True,No positive predictions; precision defined as zero
15,Logistic Regression,0.78642325895875598,0.22910800931849337,0.58823529411764708,0.19230769230769232,0.16701112059089998,51,725,False,none
15,Random Forest,0.76186612576064916,0.21289594190190375,0.098039215686274508,0.27777777777777779,0.063347551546391739,51,725,False,none
15,Gradient Boosting,0.71207572684246112,0.1735638454665335,0.27450980392156865,0.14583333333333334,0.11214602083457935,51,725,False,none
15,SVM,0.65757944557133197,0.18692645635456945,0,0,0.059192457470452868,51,725,True,No positive predictions; precision defined as zero
16,Logistic Regression,0.73027721433400927,0.17761806954639292,0.50980392156862742,0.15950920245398773,0.17349103266616125,51,725,False,none
16,Random Forest,0.71465855307640291,0.19901414305734544,0.098039215686274508,0.22727272727272727,0.065350128865979379,51,725,False,none
16,Gradient Boosting,0.72623394185260315,0.23927334763732971,0.37254901960784315,0.18269230769230768,0.11167982456106613,51,725,False,none
16,SVM,0.64154158215010137,0.14356924483077141,0,0,0.059666742952944142,51,725,True,No positive predictions; precision defined as zero
17,Logistic Regression,0.80494929006085192,0.22179474344650379,0.6470588235294118,0.20886075949367089,0.17163039524092577,51,725,False,none
17,Random Forest,0.75518593644354293,0.21627121363804741,0.11764705882352941,0.2857142857142857,0.063406185567010317,51,725,False,none
17,Gradient Boosting,0.76375929682217714,0.23677763298760773,0.35294117647058826,0.17307692307692307,0.11205666968083301,51,725,False,none
17,SVM,0.73409060175794449,0.17200251079897994,0,0,0.059175976920595161,51,725,True,No positive predictions; precision defined as zero
18,Logistic Regression,0.81314401622718047,0.25354867635475681,0.62745098039215685,0.20125786163522014,0.16480495978540874,51,725,False,none
18,Random Forest,0.82274509803921569,0.3120703414466372,0.17647058823529413,0.40909090909090912,0.058476932989690728,51,725,False,none
18,Gradient Boosting,0.74404327248140634,0.27418426168662058,0.39215686274509803,0.21276595744680851,0.10477412571003793,51,725,False,none
18,SVM,0.73290060851926975,0.19890591618259185,0,0,0.058020739869087908,51,725,True,No positive predictions; precision defined as zero
19,Logistic Regression,0.73352265043948606,0.18113817795735138,0.5490196078431373,0.1728395061728395,0.17517033990900346,51,725,False,none
19,Random Forest,0.74252873563218391,0.20183399144543943,0.11764705882352941,0.22222222222222221,0.067777190721649463,51,725,False,none
19,Gradient Boosting,0.72078431372549012,0.21840415406245045,0.33333333333333331,0.16190476190476191,0.11696462694514004,51,725,False,none
19,SVM,0.60643678160919534,0.12642918600090869,0,0,0.061190477606858341,51,725,True,No positive predictions; precision defined as zero
20,Logistic Regression,0.7587018255578093,0.225198458444305,0.56862745098039214,0.17575757575757575,0.17116609307982084,51,725,False,none
20,Random Forest,0.74288032454361042,0.18757797697580722,0.039215686274509803,0.10000000000000001,0.065496005154639172,51,725,False,none
20,Gradient Boosting,0.70382691007437459,0.18633590626722016,0.27450980392156865,0.15555555555555556,0.10686266292640302,51,725,False,none
20,SVM,0.67096686950642326,0.13407616983217169,0,0,0.06014914289786219,51,725,True,No positive predictions; precision defined as zero
21,Logistic Regression,0.74544962812711302,0.1750465309813215,0.56862745098039214,0.17058823529411765,0.18289343237151603,51,725,False,none
21,Random Forest,0.76206896551724135,0.24303187691314487,0.15686274509803921,0.25,0.068558376288659795,51,725,False,none
21,Gradient Boosting,0.72481406355645706,0.28714636435095869,0.39215686274509803,0.17241379310344829,0.11904019680176567,51,725,False,none
21,SVM,0.66250169033130502,0.16503455243870879,0,0,0.05995557972032442,51,725,True,No positive predictions; precision defined as zero
22,Logistic Regression,0.81011494252873573,0.26155702644819856,0.70588235294117652,0.22641509433962265,0.16783586803851752,51,725,False,none
22,Random Forest,0.84113590263691673,0.36660121970409615,0.21568627450980393,0.37931034482758619,0.057084020618556705,51,725,False,none
22,Gradient Boosting,0.84402974983096679,0.44309644987484614,0.60784313725490191,0.29523809523809524,0.097498665598879042,51,725,False,none
22,SVM,0.74285327924273159,0.20342952864193869,0,0,0.058144124901831483,51,725,True,No positive predictions; precision defined as zero
23,Logistic Regression,0.75175118323191337,0.19290232872543447,0.60784313725490191,0.17127071823204421,0.18246791750028096,51,725,False,none
23,Random Forest,0.71323867478025682,0.20833279709795,0.13725490196078433,0.23333333333333334,0.071743943298969062,51,725,False,none
23,Gradient Boosting,0.72519269776876261,0.25740916108308698,0.37254901960784315,0.15079365079365079,0.12027765851643753,51,725,False,none
23,SVM,0.63177822853279242,0.14250981578854469,0,0,0.060079087994993813,51,725,True,No positive predictions; precision defined as zero
24,Logistic Regression,0.83615956727518592,0.28815640212385157,0.70588235294117652,0.23684210526315788,0.16102722968512578,51,725,False,none
24,Random Forest,0.81043948613928329,0.24028257447735912,0.13725490196078433,0.25925925925925924,0.063792396907216498,51,725,False,none
24,Gradient Boosting,0.80505747126436789,0.38837050923588468,0.50980392156862742,0.22807017543859648,0.10173294272876975,51,725,False,none
24,SVM,0.75929682217714667,0.18810263092260132,0,0,0.057980876656763339,51,725,True,No positive predictions; precision defined as zero
25,Logistic Regression,0.74655848546315084,0.20101418171884411,0.5490196078431373,0.15819209039548024,0.18117161279570446,51,725,False,none
25,Random Forest,0.7768492224475998,0.25403964317206151,0.13725490196078433,0.33333333333333331,0.062521778350515464,51,725,False,none
25,Gradient Boosting,0.74275862068965515,0.25905411354305102,0.33333333333333331,0.17346938775510204,0.11294662275248335,51,725,False,none
25,SVM,0.65411764705882347,0.13964613833400749,0,0,0.060400362643946034,51,725,True,No positive predictions; precision defined as zero
26,Logistic Regression,0.76051386071670046,0.20921359307193199,0.58823529411764708,0.17045454545454544,0.17762197350314601,51,725,False,none
26,Random Forest,0.7076402974983097,0.21283909619187724,0.15686274509803921,0.22857142857142856,0.069423840206185555,51,725,False,none
26,Gradient Boosting,0.71181879648411084,0.28235246647139678,0.45098039215686275,0.20535714285714285,0.11719101476453121,51,725,False,none
26,SVM,0.65874239350912789,0.18396294790527098,0,0,0.058814535112622073,51,725,True,No positive predictions; precision defined as zero
27,Logistic Regression,0.78580121703853956,0.25437231592918191,0.60784313725490191,0.19620253164556961,0.16780587962514842,51,725,False,none
27,Random Forest,0.77292765382014883,0.29438019535229143,0.19607843137254902,0.45454545454545453,0.061703479381443299,51,725,False,none
27,Gradient Boosting,0.7654901960784315,0.31715681486282166,0.41176470588235292,0.21212121212121213,0.11009018122042089,51,725,False,none
27,SVM,0.69882352941176473,0.20557140302915036,0,0,0.058535599131431242,51,725,True,No positive predictions; precision defined as zero
28,Logistic Regression,0.75802569303583489,0.17773251233463813,0.58823529411764708,0.17857142857142858,0.17729875760596608,51,725,False,none
28,Random Forest,0.73027721433400938,0.2244417590859196,0.15686274509803921,0.30769230769230771,0.066006958762886578,51,725,False,none
28,Gradient Boosting,0.71150777552400268,0.2711010758038358,0.37254901960784315,0.17757009345794392,0.11300528903748484,51,725,False,none
28,SVM,0.66247464503042597,0.13786027078721103,0,0,0.06042777393447054,51,725,True,No positive predictions; precision defined as zero
29,Logistic Regression,0.82501690331304922,0.29201475349236078,0.6470588235294118,0.19760479041916168,0.16606450999165487,51,725,False,none
29,Random Forest,0.80513860716700492,0.2973606222196481,0.17647058823529413,0.45000000000000001,0.060559407216494852,51,725,False,none
29,Gradient Boosting,0.77764705882352936,0.27424744377990362,0.39215686274509803,0.21739130434782608,0.10375585121438718,51,725,False,none
29,SVM,0.7307640297498309,0.17032763072382567,0,0,0.05872901176866286,51,725,True,No positive predictions; precision defined as zero
30,Logistic Regression,0.7833130493576741,0.20562724618538025,0.5490196078431373,0.18791946308724833,0.1692933961476232,51,725,False,none
30,Random Forest,0.73290060851926986,0.25788340051527348,0.15686274509803921,0.27586206896551724,0.064393556701030932,51,725,False,none
30,Gradient Boosting,0.77195402298850568,0.2742206542468989,0.43137254901960786,0.22916666666666666,0.10237368777829006,51,725,False,none
30,SVM,0.69106152805949961,0.17146047162061251,0,0,0.058797248306058945,51,725,True,No positive predictions; precision defined as zero
31,Logistic Regression,0.82131169709263019,0.25624974418638791,0.68627450980392157,0.21084337349397592,0.16551016576577177,51,725,False,none
31,Random Forest,0.86425963488843816,0.36923425808759203,0.21568627450980393,0.36666666666666664,0.056365463917525775,51,725,False,none
31,Gradient Boosting,0.81342799188640968,0.29512849704059657,0.47058823529411764,0.22222222222222221,0.10615675583390645,51,725,False,none
31,SVM,0.79688979039891816,0.26688509985621045,0,0,0.056666896676799694,51,725,True,No positive predictions; precision defined as zero
32,Logistic Regression,0.77035835023664645,0.18288737655561776,0.58823529411764708,0.16666666666666666,0.18135487955359236,51,725,False,none
32,Random Forest,0.77440162271805268,0.22984655832540699,0.13725490196078433,0.2413793103448276,0.065524613402061851,51,725,False,none
32,Gradient Boosting,0.75561866125760646,0.29077465904949351,0.47058823529411764,0.17910447761194029,0.11931911381589334,51,725,False,none
32,SVM,0.71813387423935093,0.20654885046157864,0,0,0.058022628450366071,51,725,True,No positive predictions; precision defined as zero
33,Logistic Regression,0.78799188640973628,0.26496099660064754,0.62745098039215685,0.20779220779220781,0.16674866835574489,51,725,False,none
33,Random Forest,0.75467207572684247,0.21006346023060379,0.098039215686274508,0.26315789473684209,0.064527190721649474,51,725,False,none
33,Gradient Boosting,0.74627450980392163,0.33063535844052255,0.39215686274509803,0.20408163265306123,0.1041353446146015,51,725,False,none
